id,product_category,product_weight_kg,product_length_mm,product_width_mm,product_height_mm,fragility_level,transport_type,box_style,board_type,flute_type,liner_gsm,fluting_gsm,burst_strength_kg_cm2,ECT_lb_per_in,internal_protection,tape_type,strapping_type,extra_packaging,estimated_price_inr,pros,cons
1,Clothing,23.66,1293,416,755,Medium,Export container,RSC,5-ply,C,180,140,18,72,Foam sheet,BOPP tape,PP strap,Corner protectors,36.05,Good stacking,Higher cost
2,Auto parts,19.67,199,138,429,Medium,Courier,Die-cut box,5-ply,B+C,250,100,24,48,Bubble wrap,Water activated kraft tape,Steel strap,None,93.13,Good stacking,Bulky size
3,Mobile accessories,43.08,174,288,463,Low,Export container,RSC,7-ply,C,180,120,16,48,Bubble wrap,Water activated kraft tape,PP strap,Layer pads,243.2,Good stacking,Bulky size
4,Glass bottles,45.79,498,295,606,Low,Courier,Full overlap box,5-ply,C,120,100,24,44,Bubble wrap,Water activated kraft tape,Steel strap,Layer pads,59.37,Export suitable,Limited moisture resistance
5,Electronics,47.49,657,423,702,Low,Export container,Die-cut box,5-ply,B+C,200,120,20,23,Corrugated dividers,BOPP tape,PET strap,Pallet wrap,102.43,Export suitable,Heavy box
6,Ceramics,78.56,94,646,618,High,Local transport,Full overlap box,7-ply,B,250,140,16,48,None,Water activated kraft tape,PP strap,None,344.96,High strength,Bulky size
7,Books,29.25,115,682,557,Low,Local transport,Pallet box,7-ply,A,120,160,22,32,None,BOPP tape,PP strap,Pallet wrap,155.65,Good cushioning,Needs padding
8,Glass bottles,15.87,1080,827,145,High,Interstate trucking,Die-cut box,5-ply,B,250,120,16,72,Paper void fill,Filament tape,None,Layer pads,78.26,Good stacking,Limited moisture resistance
9,LED bulbs,9.69,597,849,701,Low,Interstate trucking,Mailer box,5-ply,A,230,120,12,32,Paper void fill,BOPP tape,PET strap,Corner protectors,115.38,Export suitable,Needs padding
10,LED bulbs,41.62,1222,251,579,Low,Interstate trucking,Die-cut box,3-ply,A,120,100,24,72,Bubble wrap,BOPP tape,Steel strap,Pallet wrap,15.69,Good cushioning,Bulky size
11,LED bulbs,48.14,593,493,60,High,Interstate trucking,Pallet box,5-ply,E,150,100,16,72,Corrugated dividers,BOPP tape,PET strap,Pallet wrap,39.84,High strength,Bulky size
12,LED bulbs,5.43,592,885,79,Medium,Courier,RSC,5-ply,B,180,140,22,44,Bubble wrap,Water activated kraft tape,None,Corner protectors,125.75,High strength,Needs padding
13,Food products,34.86,240,908,713,Medium,Interstate trucking,Mailer box,7-ply,C,200,120,14,48,Paper void fill,Water activated kraft tape,PET strap,Corner protectors,123.17,Export suitable,Heavy box
14,Glass bottles,60.08,1413,961,104,High,Courier,Die-cut box,5-ply,C,250,160,14,61,None,Water activated kraft tape,PET strap,Pallet wrap,36.56,Export suitable,Higher cost
15,Electronics,39.64,875,170,536,Low,Courier,Full overlap box,7-ply,A,250,120,18,48,Corrugated dividers,Water activated kraft tape,PET strap,None,270.62,High strength,Limited moisture resistance
